pagetitle,pageviews,users
34,"[u'World War, 1914-1918, Maps and Aerial Photographs | Digital Archive @ McMaster University Library', u'564', u'173']"
49,"[u'Trench Maps, Western Front (Original Collection) | Digital Archive @ McMaster University Library', u'161', u'78']"
53,"[u'Aerial Photographs | Digital Archive @ McMaster University Library', u'190', u'64']"
3918,"['No Results Found', 0, 0]"
3919,"[u'Situation Map 1: Railways & Ammuniton Dumps 1-10-18 | Digital Archive @ McMaster University Library', u'5', u'5']"
