pagetitle,pageviews,users
3982,"[u'[Strasbourg] 12 | Digital Archive @ McMaster University Library', u'14', u'2']"
3983,"['No Results Found', 0, 0]"
3984,"[u'[Cambrai] 57b.NW Enemy Organisation 29-8-18 | Digital Archive @ McMaster University Library', u'2', u'1']"
3985,"['No Results Found', 0, 0]"
3986,"[u'[Anzin] 44.SE, Enemy Organisation 15-10-18 | Digital Archive @ McMaster University Library', u'16', u'2']"
3987,"['No Results Found', 0, 0]"
3988,"[u'[Peronne] 62c.NW | Digital Archive @ McMaster University Library', u'3', u'2']"
3989,"[u'Krithia | Digital Archive @ McMaster University Library', u'2', u'2']"
3990,"[u'[Valenciennes] 51a, Enemy Rear Organisation 24-9-18 | Digital Archive @ McMaster University Library', u'1', u'1']"
3991,"['No Results Found', 0, 0]"
3992,"['No Results Found', 0, 0]"
3993,"['No Results Found', 0, 0]"
3994,"['No Results Found', 0, 0]"
3995,"['No Results Found', 0, 0]"
3996,"[u'[Gouzeaucourt--Moislains] 57c.SE.2 | Digital Archive @ McMaster University Library', u'3', u'1']"
3997,"['No Results Found', 0, 0]"
3998,"[u'Hostile Battery Positions 28-9-18 [51b.NE] | Digital Archive @ McMaster University Library', u'7', u'5']"
3999,"['No Results Found', 0, 0]"
4000,"[u'Ramleh: Secret | Digital Archive @ McMaster University Library', u'2', u'2']"
4001,"['No Results Found', 0, 0]"
4002,"['No Results Found', 0, 0]"
4003,"[u'Chilly Sheets 62d.SE., 62c.SW., 66e.NE., & 66d.NW. (parts of) | Digital Archive @ McMaster University Library', u'4', u'4']"
4004,"[u'Valenciennes 12 | Digital Archive @ McMaster University Library', u'2', u'2']"
4005,"['No Results Found', 0, 0]"
4006,"[u'Situation Map 2A: Railways & Ammunition Dumps 11-10-18 | Digital Archive @ McMaster University Library', u'2', u'1']"
4007,"['No Results Found', 0, 0]"
4008,"['No Results Found', 0, 0]"
4009,"[u'Western Front [March 20, 1918] | Digital Archive @ McMaster University Library', u'18', u'13']"
4010,"[u'[Courtrai] 29 | Digital Archive @ McMaster University Library', u'1', u'1']"
4011,"[u'Lens Canal: Positions Map 19-1-18 | Digital Archive @ McMaster University Library', u'1', u'1']"
4012,"['No Results Found', 0, 0]"
4013,"[u'[Beaurains] 51b.SW | Digital Archive @ McMaster University Library', u'1', u'1']"
4014,"[u'Abbeville 11 | Digital Archive @ McMaster University Library', u'3', u'3']"
4015,"['No Results Found', 0, 0]"
4016,"[u'Army Area Map No. 6 Secret | Digital Archive @ McMaster University Library', u'4', u'4']"
4017,"[u'[Namur] 5 | Digital Archive @ McMaster University Library', u'6', u'3']"
