filename_in,filename_out
84535.tiff,UofA_WW2_Italy_50k_029_I.tif
84538.tiff,UofA_WW2_Italy_50k_029_IV.tif
84539.tiff,UofA_WW2_Italy_50k_030_I.tif
84540.tiff,UofA_WW2_Italy_50k_030_II.tif
84541.tiff,UofA_WW2_Italy_50k_030_III.tif
84542.tiff,UofA_WW2_Italy_50k_032_II.tif
84544.tiff,UofA_WW2_Italy_50k_030_IV.tif
84545.tiff,UofA_WW2_Italy_50k_031_I.tif
84546.tiff,UofA_WW2_Italy_50k_031_II.tif
84547.tiff,UofA_WW2_Italy_50k_031_III.tif
84548.tiff,UofA_WW2_Italy_50k_034_I.tif
84549.tiff,UofA_WW2_Italy_50k_034_III.tif
84550.tiff,UofA_WW2_Italy_50k_034_IV.tif
84551.tiff,UofA_WW2_Italy_50k_036_III.tif
84552.tiff,UofA_WW2_Italy_50k_029_II.tif
84553.tiff,UofA_WW2_Italy_50k_029_III.tif
84554.tiff,UofA_WW2_Italy_50k_038_I.tif
84555.tiff,UofA_WW2_Italy_50k_038_II.tif
84556.tiff,UofA_WW2_Italy_50k_038_III.tif
84557.tiff,UofA_WW2_Italy_50k_038_IV.tif
84558.tiff,UofA_WW2_Italy_50k_040A_II.tif
84559.tiff,UofA_WW2_Italy_50k_040A_III.tif
84560.tiff,UofA_WW2_Italy_50k_040A_IV_amer.tif
84561.tiff,UofA_WW2_Italy_50k_040A_IV_ita.tif
84562.tiff,UofA_WW2_Italy_50k_033_I.tif
84563.tiff,UofA_WW2_Italy_50k_033_II.tif
84564.tiff,UofA_WW2_Italy_50k_033_III.tif
84565.tiff,UofA_WW2_Italy_50k_033_IV.tif
84566.tiff,UofA_WW2_Italy_50k_041_II.tif
84567.tiff,UofA_WW2_Italy_50k_041_IV.tif
84568.tiff,UofA_WW2_Italy_50k_042_I.tif
84569.tiff,UofA_WW2_Italy_50k_042_II.tif
84570.tiff,UofA_WW2_Italy_50k_043_III.tif
84571.tiff,UofA_WW2_Italy_50k_043_IV.tif
84572.tiff,UofA_WW2_Italy_50k_044_I.tif
84573.tiff,UofA_WW2_Italy_50k_044_II.tif
84574.tiff,UofA_WW2_Italy_50k_036_IV.tif
84575.tiff,UofA_WW2_Italy_50k_037_I.tif
84576.tiff,UofA_WW2_Italy_50k_037_II.tif
84577.tiff,UofA_WW2_Italy_50k_037_IV.tif
84578.tiff,UofA_WW2_Italy_50k_045_III.tif
84579.tiff,UofA_WW2_Italy_50k_045_IV.tif
84580.tiff,UofA_WW2_Italy_50k_046_II.tif
84581.tiff,UofA_WW2_Italy_50k_046_IV.tif
84582.tiff,UofA_WW2_Italy_50k_048_III.tif
84583.tiff,UofA_WW2_Italy_50k_048_IV.tif
84584.tiff,UofA_WW2_Italy_50k_049_I.tif
84585.tiff,UofA_WW2_Italy_50k_049_II.tif
84586.tiff,UofA_WW2_Italy_50k_039_I.tif
84587.tiff,UofA_WW2_Italy_50k_039_II.tif
84588.tiff,UofA_WW2_Italy_50k_039_III.tif
84589.tiff,UofA_WW2_Italy_50k_039_IV.tif
84590.tiff,UofA_WW2_Italy_50k_050_III.tif
84591.tiff,UofA_WW2_Italy_50k_050_IV.tif
84592.tiff,UofA_WW2_Italy_50k_051_I.tif
84593.tiff,UofA_WW2_Italy_50k_051_II.tif
84594.tiff,UofA_WW2_Italy_50k_053A_I.tif
84595.tiff,UofA_WW2_Italy_50k_053A_II.tif
84596.tiff,UofA_WW2_Italy_50k_053A_III.tif
84597.tiff,UofA_WW2_Italy_50k_053A_IV.tif
84598.tiff,UofA_WW2_Italy_50k_042_III.tif
84599.tiff,UofA_WW2_Italy_50k_042_IV.tif
84600.tiff,UofA_WW2_Italy_50k_043_I.tif
84601.tiff,UofA_WW2_Italy_50k_043_II.tif
84602.tiff,UofA_WW2_Italy_50k_056_IV_ita.tif
84603.tiff,UofA_WW2_Italy_50k_057_I.tif
84604.tiff,UofA_WW2_Italy_50k_057_II.tif
84605.tiff,UofA_WW2_Italy_50k_057_III.tif
84606.tiff,UofA_WW2_Italy_50k_058_IV.tif
84607.tiff,UofA_WW2_Italy_50k_059_I.tif
84608.tiff,UofA_WW2_Italy_50k_059_II.tif
84609.tiff,UofA_WW2_Italy_50k_059_III.tif
84610.tiff,UofA_WW2_Italy_50k_040B_I.tif
84611.tiff,UofA_WW2_Italy_50k_040_II.tif
84612.tiff,UofA_WW2_Italy_50k_040_III.tif
84613.tiff,UofA_WW2_Italy_50k_040_IV.tif
84614.tiff,UofA_WW2_Italy_50k_041_I.tif
84615.tiff,UofA_WW2_Italy_50k_265_IV.tif
84616.tiff,UofA_WW2_Italy_50k_266_I.tif
84617.tiff,UofA_WW2_Italy_50k_266_II_and_IIA.tif
84618.tiff,UofA_WW2_Italy_50k_266_III.tif
84619.tiff,UofA_WW2_Italy_50k_263_I.tif
84620.tiff,UofA_WW2_Italy_50k_263_IV.tif
84621.tiff,UofA_WW2_Italy_50k_264_IV.tif
84622.tiff,UofA_WW2_Italy_50k_265_I.tif
84623.tiff,UofA_WW2_Italy_50k_053_IV.tif
84624.tiff,UofA_WW2_Italy_50k_055_I.tif
84625.tiff,UofA_WW2_Italy_50k_055_II.tif
84626.tiff,UofA_WW2_Italy_50k_056_I.tif
84627.tiff,UofA_WW2_Italy_50k_060_IV.tif
84628.tiff,UofA_WW2_Italy_50k_061_I.tif
84629.tiff,UofA_WW2_Italy_50k_061_II.tif
84630.tiff,UofA_WW2_Italy_50k_061_III.tif
84631.tiff,UofA_WW2_Italy_50k_063_I.tif
84632.tiff,UofA_WW2_Italy_50k_063_II.tif
84634.tiff,Uofa_WW2_Italy_50k_063_III.tif
84635.tiff,UofA_WW2_Italy_50k_063_IV.tif
84636.tiff,UofA_WW2_Italy_50k_065A_II.tif
84637.tiff,UofA_WW2_Italy_50k_065B_III.tif
84638.tiff,UofA_WW2_Italy_50k_065_I.tif
84639.tiff,UofA_WW2_Italy_50k_065_II.tif
84640.tiff,UofA_WW2_Italy_50k_068_II.tif
84641.tiff,UofA_WW2_Italy_50k_068_III.tif
84642.tiff,UofA_WW2_Italy_50k_068_IV.tif
84643.tiff,UofA_WW2_Italy_50k_069_I.tif
84644.tiff,UofA_WW2_Italy_50k_070_II.tif
84645.tiff,UofA_WW2_Italy_50k_070_III.tif
84646.tiff,UofA_WW2_Italy_50k_070_IV.tif
84647.tiff,UofA_WW2_Italy_50k_071_I.tif
84648.tiff,UofA_WW2_Italy_50k_072_II.tif
84649.tiff,UofA_WW2_Italy_50k_072_III.tif
84650.tiff,UofA_WW2_Italy_50k_075_III.tif
84651.tiff,UofA_WW2_Italy_50k_079_III.tif
84652.tiff,UofA_WW2_Italy_50k_044_III.tif
84653.tiff,UofA_WW2_Italy_50k_044_IV.tif
84655.tiff,UofA_WW2_Italy_50k_045_II.tif
84656.tiff,UofA_WW2_Italy_50k_090_II.tif
84657.tiff,UofA_WW2_Italy_50k_091_II.tif
84658.tiff,UofA_WW2_Italy_50k_092_I.tif
84659.tiff,UofA_WW2_Italy_50k_092_II.tif
84660.tiff,UofA_WW2_Italy_50k_144_III.tif
84661.tiff,UofA_WW2_Italy_50k_144_IV.tif
84662.tiff,UofA_WW2_Italy_50k_145_I.tif
84663.tiff,UofA_WW2_Italy_50k_145_II.tif
84665.tiff,UofA_WW2_Italy_50k_047_III.tif
84666.tiff,UofA_WW2_Italy_50k_047_IV.tif
84667.tiff,UofA_WW2_Italy_50k_048_II.tif
84668.tiff,UofA_WW2_Italy_50k_148_II.tif
84669.tiff,UofA_WW2_Italy_50k_148_III.tif
84670.tiff,UofA_WW2_Italy_50k_148_IV.tif
84671.tiff,UofA_WW2_Italy_50k_150_I.tif
84672.tiff,UofA_WW2_Italy_50k_151_III.tif
84673.tiff,UofA_WW2_Italy_50k_151_IV.tif
84674.tiff,UofA_WW2_Italy_50k_152_I.tif
84675.tiff,UofA_WW2_Italy_50k_152_II.tif
84676.tiff,UofA_WW2_Italy_50k_045_I.tif
84677.tiff,UofA_WW2_Italy_50k_153_III.tif
84678.tiff,UofA_WW2_Italy_50k_153_IV.tif
84679.tiff,UofA_WW2_Italy_50k_154_I.tif
84680.tiff,UofA_WW2_Italy_50k_154_II.tif
84681.tiff,UofA_WW2_Italy_50k_155_III.tif
84682.tiff,UofA_WW2_Italy_50k_155_IV.tif
84683.tiff,UofA_WW2_Italy_50k_156_I.tif
84684.tiff,UofA_WW2_Italy_50k_156_II.tif
84685.tiff,UofA_WW2_Italy_50k_049_III.tif
