COLLECTION MACREPO ID,WEBSITE URL,DIMENSION: PAGETITLE,METRIC: USERS (TOTAL),METRIC: PAGEVIEWS (TOTAL),TIMERANGE: From 365daysAgo to 20180825
9839,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A9839,'Canadian Fire Insurance Plans | Digital Archive @ McMaster University Library',329,1529
33184,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A33184,'Hamilton Ont. 1898 | Digital Archive @ McMaster University Library',480,594
33186,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A33186,'Hamilton Ont. 1911 | Digital Archive @ McMaster University Library',1749,2426
33182,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A33182,'Burlington Beach Ont. 1900 | Digital Archive @ McMaster University Library',0,0
45577,0,0
45578,0,0
45533,0,0
45527,0,0
45534,0,0
45529,0,0
46730,0,0
45525,0,0
45523,0,0
45521,0,0
45519,0,0
45516,0,0
45514,0,0
45513,0,0
45511,0,0
45509,0,0
45537,0,0
45535,0,0
45536,0,0
45549,0,0
45554,0,0
45538,0,0
45553,0,0
45552,0,0
45551,0,0
45564,0,0
45563,0,0
45562,0,0
45570,0,0
48681,0,0
48683,0,0
48687,0,0
61441,0,0
61443,0,0
66581,0,0
66580,0,0
66579,0,0
66554,0,0
66555,0,0
66648,0,0
66498,0,0
66578,0,0
66659,0,0
66660,0,0
66650,0,0
67046,0,0
67047,0,0
67045,0,0
66651,0,0
67049,0,0
67048,0,0
66556,0,0
70035,0,0
70034,0,0
70155,0,0
66559,0,0
70033,0,0
66652,0,0
70492,0,0
70157,0,0
70036,0,0
70156,0,0
70474,0,0
70478,0,0
70475,0,0
70472,0,0
71369,0,0
71370,0,0
71395,0,0
71401,0,0
70822,0,0
66557,0,0
71376,0,0
71371,0,0
71378,0,0
75444,0,0
71721,0,0
71544,0,0
71540,0,0
71535,0,0
71536,0,0
71537,0,0
71538,0,0
71545,0,0
71541,0,0
71539,0,0
71542,0,0
