MACREPO ID,WEBSITE URL,DIMENSION: PAGETITLE,METRIC: USERS,METRIC: PAGEVIEWS,"ITEM=1, COLLECTION=2",IDENTIFIER,PARENT DIRECTORY,TOP-LEVEL COLLECTION,TIMERANGE: From 365daysAgo to 20181025,,,,Collection,9839,81038,77266,71369,49596,66648,81271,81131,81117,82248,5946,81951,21508,70033,81142,77271,34,66649,81115,
,,,,,,,,,,,,,Sum of Item Pageviews,8539,442,91,25312,11739,887,60,797,304,231,173,385,17363,53,385,20,55029,65693,179,187682
3933,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3933,'[Arras] 51b | Digital Archive @ McMaster University Library',19,19,1,047WW1MAP,74944,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,
3934,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3934,'Sinai Peninsula Suez | Digital Archive @ McMaster University Library',20,22,1,266WW1MAP,74923,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,
3935,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3935,'[Aire] 36a | Digital Archive @ McMaster University Library',11,13,1,373WW1MAP,74944,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,
3936,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3936,'[St. Amand-les Eaux] 44: Enemy Organisation 15-10-18 | Digital Archive @ McMaster University Library',5,6,1,377WW1MAP,74939,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
3937,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3937,'Namur 8 | Digital Archive @ McMaster University Library',7,9,1,405WW1MAP,70212,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
3938,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3938,'[Valenciennes] 51a Enemy Rear Organisation 24-9-18 | Digital Archive @ McMaster University Library',8,9,1,214WW1MAP,74939,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
3939,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3939,'[Valenciennes] 51a | Digital Archive @ McMaster University Library',7,9,1,382WW1MAP,74944,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
3940,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3940,'[Armentieres] 36.NW | Digital Archive @ McMaster University Library',13,31,1,049WW1MAP,74943,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,
3941,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3941,'[Ypres] 28 | Digital Archive @ McMaster University Library',56,281,1,322WW1MAP,74944,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,
3942,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A3942,'[Cambrai] 57b Enemy Rear Organisation 25-9-18 | Digital Archive @ McMaster University Library',20,22,1,174WW1MAP,74939,34,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,
