identifier,crs
HTDP63360K040I05_1910,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I05_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I05_1941_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I05_1941,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I09_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I09_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I09_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I10_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I10_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I10_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I10_1937_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I11_1910,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I11_1920,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I11_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I11_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I11_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I11_1948,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I12_1910,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I12_1921,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I12_1931,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I12_1948,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I13_1911,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I13_1921,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I13_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I13_1933_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I13_1940_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I13_1947_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I14_1913,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I14_1919,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I14_1924,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I14_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I14_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I14_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I14_1941_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I14_1948_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I15_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I15_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I15_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I15_1939_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I15_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I16_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I16_1919,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I16_1925,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I16_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040I16_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J01_1910,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J01_1924,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J01_1941,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J02_1913,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J02_1920,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J02_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J02_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J02_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J03_1910,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J03_1924,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J03-J06_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J06_1913,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J06_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J07_1912,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J07_1920,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J07_1931,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J07_1940_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J08_1913,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J08_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J08_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J08_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J08_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J09_1913,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J09_1924,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J09_1939_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J09_1939_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J09_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J10_1910,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J10_1924,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J16_1912,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J16_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J16_1932,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J16_1936_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040J16_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040O01_1911,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040O01_1924,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040O01_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040O01_1929_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040O01_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P01_1916,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P01_1921,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P01_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P01_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P01_1940_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P01_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P02_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P02_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P02_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P02_1938_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P02_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P03_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P03_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P03_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P03_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P03_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P04_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P04_1924,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P04_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P04_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P04_1940_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P04_1947_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P05_1927_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P05_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P06_1927,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P06_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P06_1940_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P06_1940_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P07_1927,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P07_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P07_1938_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P07_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P08_1916,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P08_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P08_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P08_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P08_1938_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P09_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P09_1939_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P09_1939_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P10_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P10_1939_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P10_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P11_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P12_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P12_1941_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P13_1937_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P13_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P14_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P15_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K040P16_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A01_1941,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A02_1945_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A02_1945,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A03_1946,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A04_1946_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A04_1946,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A05-A06_1946_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A05-A06_1946,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A07_1945,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A08_1941_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A08_1941,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A09_1945_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A09_1945,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A10_1945_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A10_1945,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A11_1945,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A14_1946_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041A14_1946,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041G10_1951,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041G14_1951,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041G15_1951,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041H03-H04_1946,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041H12_1951,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041H13_1951,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041H15_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041I02_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041I06-I07-I10-I11_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041K09_1939_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K041K09_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K052L06_1950,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K052L11_1950,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K052L14_1951,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K052M03_1951,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
